               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12137,            0.031378,            0.053699,           0.0012591,             0.15341,           0.0010856,          0.00033665,             0.12891,            0.023935,            0.056168,                 0.1,                   0,                   0
                   1,             0.11542,            0.031986,            0.053777,           0.0013118,             0.16948,           0.0010215,           0.0003577,             0.12868,            0.024318,            0.055725,            0.099099,           9.901e-05,           9.901e-05
                   2,             0.11997,            0.029129,            0.051118,           0.0014725,             0.19805,           0.0011578,          0.00042062,             0.12757,            0.024313,            0.055313,            0.098196,          0.00019604,          0.00019604
                   3,             0.12342,            0.030894,            0.054886,           0.0016347,             0.22662,            0.001336,           0.0005205,             0.12576,             0.02434,            0.054581,            0.097291,          0.00029109,          0.00029109
                   4,             0.11696,            0.030089,            0.053779,           0.0016412,             0.22662,           0.0013738,          0.00058345,             0.12329,            0.024423,            0.053772,            0.096384,          0.00038416,          0.00038416
                   5,             0.11334,            0.033218,            0.053652,           0.0017439,             0.24481,           0.0015651,          0.00064533,              0.1203,            0.024426,            0.052658,            0.095475,          0.00047525,          0.00047525
                   6,             0.10674,            0.032062,            0.050959,           0.0016933,             0.26088,           0.0016376,          0.00064446,             0.11684,            0.024401,            0.051605,            0.094564,          0.00056436,          0.00056436
                   7,             0.10856,            0.032865,            0.050348,           0.0019799,             0.29156,            0.002044,          0.00065568,             0.11233,            0.024361,            0.050476,            0.093651,          0.00065149,          0.00065149
                   8,             0.10521,            0.035769,            0.049385,           0.0018082,             0.27906,           0.0020507,          0.00063742,             0.10641,            0.024351,            0.049431,            0.092737,          0.00073664,          0.00073664
                   9,             0.10083,            0.035643,            0.048096,           0.0021976,             0.34876,            0.002553,          0.00056523,            0.097832,            0.024548,            0.048744,             0.09182,          0.00081981,          0.00081981
                  10,            0.096485,            0.034147,            0.050342,            0.002515,             0.37073,           0.0030912,          0.00056426,            0.087053,            0.024579,            0.048187,            0.090901,            0.000901,            0.000901
                  11,            0.098758,            0.027946,            0.049857,           0.0027015,             0.36153,            0.004021,           0.0008734,            0.078223,            0.024673,            0.047592,             0.08998,          0.00098021,          0.00098021
                  12,            0.090559,             0.03628,            0.049096,            0.002918,              0.4026,           0.0054411,           0.0011325,            0.071277,            0.024691,             0.04705,            0.089057,           0.0010574,           0.0010574
                  13,            0.085046,            0.032418,            0.045838,           0.0034753,             0.47435,           0.0074621,           0.0020892,              0.0659,             0.02499,            0.046089,            0.088133,           0.0011327,           0.0011327
                  14,            0.083347,            0.034318,            0.045221,           0.0039768,             0.55179,            0.011492,           0.0031514,            0.062397,            0.024777,            0.045242,            0.087206,            0.001206,            0.001206
                  15,             0.07949,            0.039209,             0.04793,            0.004461,             0.62143,            0.021557,           0.0058499,            0.060344,             0.02447,            0.044617,            0.086277,           0.0012772,           0.0012772
                  16,            0.082271,             0.03439,            0.044289,           0.0047596,             0.66991,            0.036353,            0.010668,            0.057626,            0.024526,            0.043343,            0.085347,           0.0013466,           0.0013466
                  17,            0.068585,            0.033107,            0.045527,           0.0047596,             0.66991,            0.036353,            0.010668,            0.057626,            0.024526,            0.043343,            0.084414,           0.0014139,           0.0014139
                  18,            0.074839,             0.03621,            0.044775,           0.0053459,             0.82348,             0.10129,            0.026041,            0.056685,            0.024257,             0.04261,            0.083479,           0.0014792,           0.0014792
                  19,            0.075299,            0.033254,            0.046197,           0.0053459,             0.82348,             0.10129,            0.026041,            0.056685,            0.024257,             0.04261,            0.082543,           0.0015426,           0.0015426
                  20,            0.078909,            0.033577,            0.045204,           0.0058233,             0.96667,            0.094924,            0.026788,             0.05596,            0.023919,            0.042007,            0.081604,            0.001604,            0.001604
                  21,            0.067816,            0.038188,            0.043031,           0.0058233,             0.96667,            0.094924,            0.026788,             0.05596,            0.023919,            0.042007,            0.080663,           0.0016634,           0.0016634
                  22,            0.072057,            0.037544,            0.043063,           0.0055693,              0.9381,             0.15442,            0.035936,              0.0574,            0.023146,            0.041199,            0.079721,           0.0017208,           0.0017208
                  23,            0.065044,            0.032782,             0.04409,           0.0055693,              0.9381,             0.15442,            0.035936,              0.0574,            0.023146,            0.041199,            0.078776,           0.0017763,           0.0017763
                  24,            0.070302,            0.031151,            0.042509,           0.0057309,              0.9875,             0.20779,            0.074044,            0.058643,            0.023082,            0.040466,             0.07783,           0.0018298,           0.0018298
                  25,            0.068898,             0.02948,            0.044413,           0.0057309,              0.9875,             0.20779,            0.074044,            0.058643,            0.023082,            0.040466,            0.076881,           0.0018812,           0.0018812
                  26,              0.0624,            0.042043,            0.042072,           0.0055646,             0.96667,             0.17753,            0.055514,            0.060878,            0.022418,            0.039948,            0.075931,           0.0019308,           0.0019308
                  27,            0.053548,            0.025879,            0.041946,           0.0055646,             0.96667,             0.17753,            0.055514,            0.060878,            0.022418,            0.039948,            0.074978,           0.0019783,           0.0019783
                  28,            0.073235,            0.025727,            0.046291,              0.0338,              0.8928,             0.19934,            0.074007,            0.061867,            0.021886,            0.039314,            0.074024,           0.0020238,           0.0020238
                  29,            0.066886,            0.029543,            0.041272,              0.0338,              0.8928,             0.19934,            0.074007,            0.061867,            0.021886,            0.039314,            0.073067,           0.0020674,           0.0020674
                  30,            0.072648,            0.026859,            0.045436,            0.091119,             0.59219,             0.21255,            0.089018,            0.059943,            0.021623,            0.039009,            0.072109,            0.002109,            0.002109
                  31,            0.061859,            0.023082,            0.044234,            0.091119,             0.59219,             0.21255,            0.089018,            0.059943,            0.021623,            0.039009,            0.071149,           0.0021486,           0.0021486
                  32,             0.06603,            0.028083,            0.040643,            0.088027,             0.73566,             0.21554,             0.08903,            0.060305,            0.021587,            0.039154,            0.070186,           0.0021862,           0.0021862
                  33,            0.068203,            0.027922,            0.042676,            0.088027,             0.73566,             0.21554,             0.08903,            0.060305,            0.021587,            0.039154,            0.069222,           0.0022219,           0.0022219
                  34,            0.065759,            0.037778,            0.038928,             0.27192,             0.19903,             0.09475,             0.02759,              0.0542,            0.020841,            0.038719,            0.068256,           0.0022556,           0.0022556
                  35,            0.069997,            0.027418,            0.041694,             0.27192,             0.19903,             0.09475,             0.02759,              0.0542,            0.020841,            0.038719,            0.067287,           0.0022873,           0.0022873
