               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12137,            0.031378,            0.053699,           0.0012591,             0.15341,           0.0010856,          0.00033665,             0.12891,            0.023935,            0.056168,                 0.1,                   0,                   0
                   1,             0.11542,            0.031986,            0.053777,           0.0013124,             0.16948,           0.0010219,          0.00035789,             0.12868,            0.024318,            0.055725,            0.099099,           9.934e-05,           9.934e-05
                   2,             0.11997,            0.029127,            0.051115,           0.0014725,             0.19805,           0.0011567,           0.0004202,             0.12757,            0.024314,            0.055313,            0.098197,          0.00019736,          0.00019736
                   3,              0.1234,            0.030897,            0.054886,            0.001635,             0.22662,           0.0013368,          0.00050274,             0.12574,            0.024341,            0.054565,            0.097294,          0.00029406,          0.00029406
                   4,             0.11693,            0.030096,            0.053769,           0.0016424,             0.22662,           0.0013722,          0.00058294,             0.12326,            0.024423,            0.053772,            0.096389,          0.00038944,          0.00038944
                   5,             0.11329,            0.033227,            0.053642,           0.0017413,             0.24481,           0.0015567,          0.00064287,             0.12021,            0.024428,            0.052628,            0.095483,           0.0004835,           0.0004835
                   6,             0.10665,            0.032074,            0.050939,           0.0017914,             0.27906,           0.0016973,          0.00065952,             0.11667,            0.024408,            0.051575,            0.094576,          0.00057624,          0.00057624
                   7,             0.10841,            0.032893,            0.050343,           0.0019881,             0.29156,           0.0020605,          0.00064732,             0.11203,            0.024375,            0.050461,            0.093668,          0.00066766,          0.00066766
                   8,             0.10499,            0.035822,             0.04936,           0.0018069,             0.27906,           0.0020593,          0.00059228,             0.10591,            0.024365,            0.049393,            0.092758,          0.00075776,          0.00075776
                   9,              0.1004,            0.035717,            0.048085,           0.0023731,             0.36126,           0.0026888,          0.00060483,            0.097008,             0.02455,            0.048698,            0.091847,          0.00084654,          0.00084654
                  10,             0.09578,            0.034218,            0.050254,            0.002875,             0.40352,           0.0032968,          0.00064281,            0.085699,            0.024596,            0.048141,            0.090934,            0.000934,            0.000934
                  11,            0.098382,            0.027959,            0.049766,           0.0026176,             0.34334,           0.0040673,          0.00088627,            0.076523,            0.024662,            0.047485,             0.09002,           0.0010201,           0.0010201
                  12,            0.090021,            0.036371,            0.049015,           0.0032439,             0.44367,           0.0059331,           0.0012996,            0.070112,            0.024693,            0.046928,            0.089105,            0.001105,            0.001105
                  13,            0.084855,            0.032397,            0.045719,           0.0033244,             0.46185,            0.007907,           0.0022262,            0.064693,            0.024992,            0.045906,            0.088188,           0.0011885,           0.0011885
                  14,            0.083116,            0.034293,            0.045106,           0.0040179,             0.55179,            0.012942,           0.0041294,            0.061285,            0.024758,            0.044998,            0.087271,           0.0012706,           0.0012706
                  15,            0.079236,            0.039187,            0.047818,           0.0044974,             0.62143,            0.029647,           0.0077347,            0.059444,            0.024405,            0.044418,            0.086351,           0.0013515,           0.0013515
                  16,            0.082098,            0.034284,            0.044076,           0.0049982,             0.73241,            0.048341,            0.013962,            0.056772,            0.024446,            0.043068,            0.085431,            0.001431,            0.001431
                  17,            0.068093,            0.033099,              0.0452,           0.0049982,             0.73241,            0.048341,            0.013962,            0.056772,            0.024446,            0.043068,            0.084509,           0.0015093,           0.0015093
                  18,             0.07446,            0.036198,            0.044567,            0.005388,             0.87348,            0.091969,             0.02637,            0.056197,            0.024076,            0.042229,            0.083586,           0.0015862,           0.0015862
                  19,            0.074879,             0.03315,            0.046226,            0.005388,             0.87348,            0.091969,             0.02637,            0.056197,            0.024076,            0.042229,            0.082662,           0.0016617,           0.0016617
                  20,            0.078483,            0.033497,             0.04501,           0.0052914,             0.89702,            0.089797,            0.024347,            0.055938,            0.023764,            0.041405,            0.081736,            0.001736,            0.001736
                  21,            0.067424,            0.038027,            0.042775,           0.0052914,             0.89702,            0.089797,            0.024347,            0.055938,            0.023764,            0.041405,            0.080809,           0.0018089,           0.0018089
                  22,            0.071958,              0.0373,            0.042689,           0.0056044,              0.9381,             0.13392,            0.038597,            0.057001,            0.023182,            0.040443,            0.079881,           0.0018806,           0.0018806
                  23,             0.06328,            0.032854,             0.04402,           0.0056044,              0.9381,             0.13392,            0.038597,            0.057001,            0.023182,            0.040443,            0.078951,           0.0019509,           0.0019509
                  24,            0.068781,             0.03117,            0.042488,           0.0056391,               0.975,             0.17944,            0.055782,            0.060446,            0.022882,             0.03952,             0.07802,           0.0020198,           0.0020198
                  25,             0.06793,            0.029128,            0.044227,           0.0056391,               0.975,             0.17944,            0.055782,            0.060446,            0.022882,             0.03952,            0.077088,           0.0020875,           0.0020875
                  26,            0.062842,            0.041362,            0.041716,           0.0056251,             0.96667,             0.14737,            0.049968,             0.06246,            0.022096,            0.038761,            0.076154,           0.0021538,           0.0021538
                  27,            0.056109,            0.025297,            0.041587,           0.0056251,             0.96667,             0.14737,            0.049968,             0.06246,            0.022096,            0.038761,            0.075219,           0.0022189,           0.0022189
                  28,            0.073719,            0.025333,            0.046075,            0.059856,             0.59908,             0.20839,            0.058167,            0.061051,            0.021957,            0.038021,            0.074283,           0.0022826,           0.0022826
