               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11327,            0.035169,            0.050868,          0.00090583,            0.074405,           0.0017361,           0.0003689,             0.12026,            0.031242,            0.054291,                 0.1,                   0,                   0
                   1,              0.1099,            0.035489,            0.051485,           0.0017118,             0.22473,           0.0083564,           0.0015048,             0.11773,            0.030367,            0.055557,            0.099099,           9.934e-05,           9.934e-05
                   2,             0.11842,            0.032009,            0.053519,           0.0017979,             0.24291,            0.009126,           0.0016657,             0.11654,            0.030156,            0.055344,            0.098197,          0.00019736,          0.00019736
                   3,             0.11024,            0.034824,            0.050155,           0.0021375,             0.25806,            0.010558,           0.0017191,             0.11395,             0.02997,            0.054405,            0.097294,          0.00029406,          0.00029406
                   4,             0.11013,            0.033594,             0.05084,           0.0020434,             0.23988,            0.011698,           0.0020521,             0.11083,             0.02982,            0.053482,            0.096389,          0.00038944,          0.00038944
                   5,             0.10409,             0.03618,             0.05051,           0.0021518,             0.25238,            0.014117,           0.0021153,             0.10711,            0.029715,            0.052422,            0.095483,           0.0004835,           0.0004835
                   6,             0.10471,            0.034266,            0.048513,           0.0020024,             0.24556,            0.014446,           0.0020978,             0.10368,            0.029564,            0.051392,            0.094576,          0.00057624,          0.00057624
                   7,              0.1072,            0.034444,            0.052025,            0.001945,             0.24556,            0.014743,           0.0019796,             0.10003,            0.029447,            0.050606,            0.093668,          0.00066766,          0.00066766
                   8,             0.10517,            0.036766,            0.050708,           0.0020443,             0.25806,            0.014737,           0.0021795,            0.096636,            0.029251,            0.049858,            0.092758,          0.00075776,          0.00075776
                   9,             0.10179,            0.035876,            0.051766,           0.0022286,             0.28874,            0.043038,           0.0051879,            0.093146,            0.028813,            0.049774,            0.091847,          0.00084654,          0.00084654
                  10,            0.092664,            0.034778,            0.050096,           0.0020943,             0.23874,            0.043238,           0.0051805,            0.090089,            0.028415,            0.049698,            0.090934,            0.000934,            0.000934
                  11,             0.10082,            0.029802,            0.050925,           0.0025663,             0.28458,            0.043878,           0.0057264,            0.088016,            0.028141,            0.049416,             0.09002,           0.0010201,           0.0010201
                  12,            0.095186,            0.036263,             0.04511,           0.0021206,             0.28874,            0.033822,           0.0040931,            0.086769,            0.027619,            0.049393,            0.089105,            0.001105,            0.001105
                  13,            0.086187,            0.033475,            0.044764,           0.0020924,             0.25693,            0.048346,           0.0058731,            0.084882,             0.02719,            0.048431,            0.088188,           0.0011885,           0.0011885
                  14,            0.086035,            0.034928,             0.04585,           0.0022679,             0.29329,            0.051998,           0.0087386,            0.083731,             0.02678,            0.047981,            0.087271,           0.0012706,           0.0012706
                  15,            0.085679,            0.037458,            0.044519,           0.0027517,             0.34481,            0.036249,            0.009996,            0.080457,            0.026185,            0.047043,            0.086351,           0.0013515,           0.0013515
                  16,            0.089626,             0.03403,            0.044065,           0.0048784,             0.38593,            0.037579,            0.010302,            0.080781,            0.025681,            0.046715,            0.085431,            0.001431,            0.001431
                  17,            0.074526,            0.032142,            0.045695,           0.0048784,             0.38593,            0.037579,            0.010302,            0.080781,            0.025681,            0.046715,            0.084509,           0.0015093,           0.0015093
                  18,            0.083696,            0.034708,            0.042742,           0.0043387,             0.40108,            0.037056,           0.0075813,            0.077714,            0.025286,            0.047134,            0.083586,           0.0015862,           0.0015862
                  19,            0.082698,             0.03275,            0.044976,           0.0043387,             0.40108,            0.037056,           0.0075813,            0.077714,            0.025286,            0.047134,            0.082662,           0.0016617,           0.0016617
                  20,            0.086477,            0.033401,            0.044297,           0.0052658,             0.53479,            0.041922,            0.011943,            0.074883,            0.025097,            0.046822,            0.081736,            0.001736,            0.001736
                  21,            0.075801,            0.036036,            0.043436,           0.0052658,             0.53479,            0.041922,            0.011943,            0.074883,            0.025097,            0.046822,            0.080809,           0.0018089,           0.0018089
                  22,             0.07837,            0.036436,            0.042593,           0.0078282,             0.55298,            0.047874,            0.015826,            0.073305,            0.024684,            0.048004,            0.079881,           0.0018806,           0.0018806
                  23,            0.071461,            0.031407,            0.044243,           0.0078282,             0.55298,            0.047874,            0.015826,            0.073305,            0.024684,            0.048004,            0.078951,           0.0019509,           0.0019509
                  24,            0.078902,            0.030371,            0.044036,            0.019973,             0.39426,            0.060886,             0.02094,             0.07295,            0.024354,            0.049706,             0.07802,           0.0020198,           0.0020198
