               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12286,            0.031569,            0.054436,           0.0013289,             0.25509,           0.0013525,          0.00029372,             0.13278,            0.024483,            0.062943,                 0.1,                   0,                   0
                   1,             0.11834,            0.030951,            0.053771,          0.00088535,             0.19167,          0.00081978,          9.8853e-05,             0.13402,            0.024956,            0.060806,            0.099099,           9.901e-05,           9.901e-05
                   2,             0.12268,            0.029109,             0.05196,          0.00048833,            0.091667,          0.00043493,          7.6756e-05,             0.13317,            0.024929,            0.060242,            0.098196,          0.00019604,          0.00019604
                   3,             0.12123,            0.031384,            0.053582,          0.00049336,            0.091667,          0.00045083,          7.9557e-05,             0.13168,            0.024914,            0.059311,            0.097291,          0.00029109,          0.00029109
                   4,             0.11887,            0.029396,            0.053806,          0.00077208,             0.12024,          0.00061229,          0.00010697,             0.12958,            0.024992,            0.058441,            0.096384,          0.00038416,          0.00038416
                   5,             0.11661,            0.032168,            0.052404,          0.00099093,             0.13274,           0.0007655,          0.00011517,             0.12597,            0.025154,            0.057266,            0.095475,          0.00047525,          0.00047525
                   6,              0.1091,            0.031409,            0.051869,              0.0013,              0.1244,           0.0038834,           0.0010105,             0.12095,            0.025242,             0.05632,            0.094564,          0.00056436,          0.00056436
                   7,             0.11101,            0.032157,            0.051823,           0.0012801,             0.14524,           0.0044153,           0.0015381,             0.11493,            0.025249,            0.055542,            0.093651,          0.00065149,          0.00065149
                   8,             0.10499,            0.034935,            0.050853,           0.0022395,             0.21342,            0.006745,             0.00262,             0.10604,             0.02511,            0.054749,            0.092737,          0.00073664,          0.00073664
                   9,             0.10055,            0.035109,            0.048957,           0.0028139,              0.2566,           0.0062167,           0.0030829,            0.093222,            0.025164,            0.055252,             0.09182,          0.00081981,          0.00081981
                  10,            0.098503,            0.032234,            0.046183,           0.0030585,             0.32933,           0.0068167,           0.0036783,            0.078984,            0.025105,            0.055817,            0.090901,            0.000901,            0.000901
                  11,            0.097417,            0.028025,            0.052696,           0.0029538,             0.31683,            0.006683,           0.0025697,            0.070397,            0.025331,            0.055115,             0.08998,          0.00098021,          0.00098021
                  12,            0.094439,            0.034386,            0.046731,           0.0035613,             0.39334,           0.0079299,           0.0021905,            0.064858,            0.025497,            0.054321,            0.089057,           0.0010574,           0.0010574
                  13,            0.085363,            0.031956,            0.048826,           0.0036531,             0.44334,           0.0091586,           0.0021854,            0.063118,            0.025394,            0.053375,            0.088133,           0.0011327,           0.0011327
                  14,            0.084409,            0.033408,            0.048493,           0.0045544,             0.61775,           0.0097758,           0.0029344,            0.061734,            0.024981,            0.051331,            0.087206,            0.001206,            0.001206
                  15,            0.081661,            0.037735,            0.044384,           0.0050219,             0.71239,            0.011731,           0.0035764,            0.061037,            0.024553,             0.04985,            0.086277,           0.0012772,           0.0012772
                  16,            0.083806,            0.033978,            0.047916,           0.0045739,             0.67343,            0.017154,            0.004702,            0.060039,            0.024263,             0.04747,            0.085347,           0.0013466,           0.0013466
                  17,            0.069955,            0.032547,            0.045617,           0.0045739,             0.67343,            0.017154,            0.004702,            0.060039,            0.024263,             0.04747,            0.084414,           0.0014139,           0.0014139
                  18,            0.077178,            0.035508,            0.043763,           0.0061786,             0.88241,            0.032217,            0.008161,            0.059966,            0.023713,            0.045815,            0.083479,           0.0014792,           0.0014792
                  19,            0.079904,            0.032024,            0.045803,           0.0061786,             0.88241,            0.032217,            0.008161,            0.059966,            0.023713,            0.045815,            0.082543,           0.0015426,           0.0015426
                  20,            0.082883,              0.0324,            0.047061,           0.0059857,             0.88929,            0.053947,            0.013424,            0.057299,            0.023813,            0.043381,            0.081604,            0.001604,            0.001604
                  21,            0.073205,            0.035748,            0.045542,           0.0059857,             0.88929,            0.053947,            0.013424,            0.057299,            0.023813,            0.043381,            0.080663,           0.0016634,           0.0016634
                  22,            0.074863,            0.036179,             0.04476,            0.006587,             0.90952,            0.075479,             0.02061,            0.055695,            0.023527,            0.041107,            0.079721,           0.0017208,           0.0017208
                  23,            0.062927,            0.032501,             0.04355,            0.006587,             0.90952,            0.075479,             0.02061,            0.055695,            0.023527,            0.041107,            0.078776,           0.0017763,           0.0017763
                  24,            0.069261,            0.031129,            0.044088,           0.0065451,             0.94286,             0.11864,            0.029563,            0.054929,            0.023047,            0.039497,             0.07783,           0.0018298,           0.0018298
                  25,            0.069163,            0.029154,            0.046291,           0.0065451,             0.94286,             0.11864,            0.029563,            0.054929,            0.023047,            0.039497,            0.076881,           0.0018812,           0.0018812
                  26,            0.068717,            0.039633,            0.042684,           0.0065855,             0.97143,             0.13322,            0.041175,            0.055031,            0.022614,            0.038803,            0.075931,           0.0019308,           0.0019308
                  27,            0.055843,            0.025545,            0.043199,           0.0065855,             0.97143,             0.13322,            0.041175,            0.055031,            0.022614,            0.038803,            0.074978,           0.0019783,           0.0019783
                  28,            0.076082,            0.025299,            0.047836,           0.0062915,             0.97143,             0.17614,            0.055849,            0.055852,            0.021842,            0.038246,            0.074024,           0.0020238,           0.0020238
                  29,            0.069729,              0.0287,            0.041932,           0.0062915,             0.97143,             0.17614,            0.055849,            0.055852,            0.021842,            0.038246,            0.073067,           0.0020674,           0.0020674
                  30,            0.073388,            0.026626,            0.048603,           0.0062094,             0.97143,             0.20095,            0.051508,            0.052491,            0.021379,            0.037857,            0.072109,            0.002109,            0.002109
                  31,            0.059784,            0.022863,             0.03885,           0.0062094,             0.97143,             0.20095,            0.051508,            0.052491,            0.021379,            0.037857,            0.071149,           0.0021486,           0.0021486
                  32,            0.065179,            0.028366,            0.041569,           0.0064134,                   1,             0.23407,            0.070367,            0.052263,             0.02077,            0.038017,            0.070186,           0.0021862,           0.0021862
                  33,            0.066506,            0.027423,            0.042505,           0.0064134,                   1,             0.23407,            0.070367,            0.052263,             0.02077,            0.038017,            0.069222,           0.0022219,           0.0022219
                  34,            0.064284,            0.036991,            0.038843,             0.01802,             0.94286,             0.20509,            0.079557,            0.053151,             0.01971,            0.037727,            0.068256,           0.0022556,           0.0022556
                  35,            0.060905,            0.027885,            0.042526,             0.01802,             0.94286,             0.20509,            0.079557,            0.053151,             0.01971,            0.037727,            0.067287,           0.0022873,           0.0022873
                  36,            0.053301,            0.025006,            0.040194,             0.12162,             0.66721,             0.22854,            0.064862,            0.052137,            0.019209,            0.036789,            0.066317,            0.002317,            0.002317
                  37,            0.065422,            0.032694,            0.038852,             0.12162,             0.66721,             0.22854,            0.064862,            0.052137,            0.019209,            0.036789,            0.065345,           0.0023447,           0.0023447
                  38,            0.065982,            0.032803,            0.035848,             0.23372,             0.32235,             0.28155,             0.10629,            0.046879,            0.019155,            0.036438,             0.06437,           0.0023704,           0.0023704
                  39,             0.06034,             0.02948,            0.038094,             0.23372,             0.32235,             0.28155,             0.10629,            0.046879,            0.019155,            0.036438,            0.063394,           0.0023942,           0.0023942
                  40,            0.053497,             0.02588,            0.039387,             0.30594,             0.25795,             0.27581,            0.080859,            0.050286,             0.01744,            0.036556,            0.062416,            0.002416,            0.002416
                  41,            0.069084,            0.034821,            0.037244,             0.30594,             0.25795,             0.27581,            0.080859,            0.050286,             0.01744,            0.036556,            0.061436,           0.0024358,           0.0024358
                  42,            0.057655,            0.025927,            0.042177,             0.26132,             0.35947,             0.27219,              0.1071,            0.044789,            0.017941,            0.037102,            0.060454,           0.0024536,           0.0024536
                  43,            0.062056,            0.025041,            0.039535,             0.26132,             0.35947,             0.27219,              0.1071,            0.044789,            0.017941,            0.037102,            0.059469,           0.0024695,           0.0024695
                  44,            0.061453,            0.022487,            0.039049,             0.17634,             0.37711,             0.25308,            0.083593,            0.044841,            0.017552,            0.038399,            0.058483,           0.0024834,           0.0024834
                  45,            0.062145,            0.026183,            0.041483,             0.17634,             0.37711,             0.25308,            0.083593,            0.044841,            0.017552,            0.038399,            0.057495,           0.0024953,           0.0024953
