               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11327,            0.035169,            0.050868,          0.00090583,            0.074405,           0.0017361,           0.0003689,             0.12026,            0.031242,            0.054291,                 0.1,                   0,                   0
                   1,              0.1099,            0.035489,            0.051485,           0.0017098,             0.22473,           0.0083602,           0.0015059,             0.11778,            0.030368,            0.055603,              0.0991,          9.9505e-05,          9.9505e-05
                   2,             0.11843,            0.032008,            0.053517,           0.0017899,             0.24291,           0.0091587,           0.0015809,             0.11651,            0.030154,            0.055359,            0.098198,          0.00019802,          0.00019802
                   3,             0.11023,            0.034826,            0.050153,           0.0020326,             0.24556,            0.010551,           0.0017263,             0.11393,            0.029962,             0.05439,            0.097296,          0.00029554,          0.00029554
                   4,             0.11011,            0.033598,            0.050838,           0.0021617,             0.25238,            0.011863,           0.0020698,              0.1108,             0.02982,            0.053497,            0.096392,          0.00039208,          0.00039208
                   5,             0.10405,            0.036183,            0.050504,           0.0021518,             0.25238,            0.014122,           0.0021163,             0.10708,            0.029698,            0.052383,            0.095488,          0.00048762,          0.00048762
                   6,              0.1047,            0.034269,            0.048508,           0.0021086,             0.25806,            0.015019,           0.0021607,              0.1036,            0.029542,            0.051407,            0.094582,          0.00058218,          0.00058218
                   7,             0.10714,            0.034454,            0.052016,           0.0019528,             0.24556,            0.014762,           0.0019929,            0.099851,            0.029435,            0.050568,            0.093676,          0.00067574,          0.00067574
                   8,             0.10513,            0.036768,            0.050692,           0.0019602,             0.20806,            0.014682,            0.002346,             0.09641,            0.029207,            0.049767,            0.092768,          0.00076832,          0.00076832
                   9,              0.1017,            0.035889,            0.051737,           0.0025537,             0.27208,            0.033961,           0.0042709,            0.092881,            0.028797,            0.049744,             0.09186,          0.00085991,          0.00085991
                  10,            0.092555,            0.034785,            0.050065,           0.0026101,             0.28458,             0.04386,            0.005333,            0.089869,            0.028384,            0.049622,            0.090951,           0.0009505,           0.0009505
                  11,             0.10074,            0.029789,            0.050885,           0.0025675,             0.28458,            0.034791,           0.0049006,            0.087749,            0.028087,            0.049171,             0.09004,           0.0010401,           0.0010401
                  12,            0.095053,             0.03627,            0.045076,           0.0021544,             0.25124,            0.033864,              0.0041,            0.086515,            0.027525,            0.049026,            0.089129,           0.0011287,           0.0011287
                  13,            0.085984,            0.033472,            0.044801,           0.0022956,             0.28761,            0.046295,           0.0055723,            0.084129,            0.027095,            0.047813,            0.088216,           0.0012163,           0.0012163
                  14,            0.085858,            0.034954,            0.045884,           0.0023661,             0.31147,            0.049741,           0.0073415,            0.082794,            0.026685,            0.047424,            0.087303,            0.001303,            0.001303
                  15,            0.085421,            0.037491,            0.044521,           0.0026473,             0.36623,            0.033652,           0.0069681,            0.079229,            0.026171,            0.046524,            0.086389,           0.0013886,           0.0013886
                  16,             0.08978,            0.033949,            0.044171,           0.0034535,             0.34957,            0.036031,           0.0073561,            0.079259,            0.025658,            0.046158,            0.085473,           0.0014733,           0.0014733
                  17,            0.074601,            0.032131,            0.045571,           0.0034535,             0.34957,            0.036031,           0.0073561,            0.079259,            0.025658,            0.046158,            0.084557,           0.0015569,           0.0015569
                  18,            0.083363,            0.034784,            0.042713,           0.0060359,             0.31889,            0.037227,           0.0082795,            0.076303,            0.025321,            0.047035,             0.08364,           0.0016396,           0.0016396
                  19,            0.082669,            0.032705,            0.044943,           0.0060359,             0.31889,            0.037227,           0.0082795,            0.076303,            0.025321,            0.047035,            0.082721,           0.0017213,           0.0017213
                  20,            0.086278,            0.033421,            0.044233,           0.0074647,              0.4401,            0.043853,            0.013338,            0.073587,            0.025118,            0.046875,            0.081802,            0.001802,            0.001802
                  21,            0.075587,            0.036017,            0.043409,           0.0074647,              0.4401,            0.043853,            0.013338,            0.073587,            0.025118,            0.046875,            0.080882,           0.0018817,           0.0018817
                  22,            0.078031,            0.036455,            0.042439,            0.010577,             0.54048,            0.046243,            0.014971,            0.072689,            0.024567,            0.048355,             0.07996,           0.0019604,           0.0019604
                  23,            0.071189,            0.031257,            0.044106,            0.010577,             0.54048,            0.046243,            0.014971,            0.072689,            0.024567,            0.048355,            0.079038,           0.0020381,           0.0020381
                  24,            0.078611,            0.030136,            0.044207,            0.016396,             0.29123,            0.053701,            0.019455,            0.072121,            0.024076,            0.049797,            0.078115,           0.0021149,           0.0021149
                  25,            0.077827,            0.027891,            0.046507,            0.016396,             0.29123,            0.053701,            0.019455,            0.072121,            0.024076,            0.049797,            0.077191,           0.0021906,           0.0021906
                  26,            0.073687,            0.038782,            0.043139,             0.03797,             0.18448,            0.069067,              0.0223,            0.069209,            0.023538,            0.050972,            0.076265,           0.0022654,           0.0022654
                  27,            0.059006,            0.026025,            0.038362,             0.03797,             0.18448,            0.069067,              0.0223,            0.069209,            0.023538,            0.050972,            0.075339,           0.0023391,           0.0023391
                  28,            0.087308,            0.024613,            0.047299,            0.032304,             0.51071,            0.095513,            0.031054,            0.068668,            0.023324,            0.053757,            0.074412,           0.0024119,           0.0024119
                  29,            0.081054,            0.026807,            0.039306,            0.032304,             0.51071,            0.095513,            0.031054,            0.068668,            0.023324,            0.053757,            0.073484,           0.0024837,           0.0024837
