               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12286,            0.031569,            0.054436,           0.0013289,             0.25509,           0.0013525,          0.00029372,             0.13278,            0.024483,            0.062943,                 0.1,                   0,                   0
                   1,             0.11834,            0.030951,            0.053771,          0.00088374,             0.19167,          0.00081863,          9.8697e-05,             0.13402,            0.024956,            0.060791,            0.099099,           9.934e-05,           9.934e-05
                   2,             0.12268,            0.029108,            0.051958,           0.0004896,            0.091667,          0.00043432,          6.0477e-05,             0.13317,            0.024929,            0.060242,            0.098197,          0.00019736,          0.00019736
                   3,             0.12122,            0.031388,            0.053573,          0.00049288,            0.091667,          0.00045037,           7.943e-05,             0.13166,            0.024918,            0.059296,            0.097294,          0.00029406,          0.00029406
                   4,             0.11886,            0.029397,              0.0538,          0.00077315,             0.12024,          0.00061375,          0.00010723,             0.12955,            0.024988,            0.058441,            0.096389,          0.00038944,          0.00038944
                   5,             0.11657,            0.032177,            0.052394,          0.00099002,             0.13274,          0.00076762,          0.00011561,             0.12584,            0.025164,             0.05722,            0.095483,           0.0004835,           0.0004835
                   6,               0.109,            0.031426,             0.05184,           0.0014847,              0.1369,           0.0039987,           0.0010238,              0.1207,            0.025249,            0.056274,            0.094576,          0.00057624,          0.00057624
                   7,             0.11088,            0.032179,            0.051798,           0.0014803,             0.15774,           0.0048527,           0.0015821,             0.11442,            0.025255,            0.055511,            0.093668,          0.00066766,          0.00066766
                   8,             0.10486,             0.03496,            0.050833,           0.0022384,             0.21342,           0.0067906,           0.0026516,             0.10514,            0.025105,            0.054749,            0.092758,          0.00075776,          0.00075776
                   9,             0.10029,            0.035155,             0.04893,           0.0028091,              0.2566,           0.0072799,           0.0042966,            0.092179,            0.025166,            0.055176,            0.091847,          0.00084654,          0.00084654
                  10,            0.098104,            0.032279,            0.046133,           0.0033117,             0.36001,           0.0070702,           0.0034002,            0.078044,            0.025114,            0.055618,            0.090934,            0.000934,            0.000934
                  11,            0.097185,            0.028033,            0.052652,           0.0029361,             0.31683,           0.0067051,            0.002185,            0.069436,            0.025366,            0.054886,             0.09002,           0.0010201,           0.0010201
                  12,            0.094197,            0.034417,            0.046671,           0.0038038,             0.47668,           0.0086569,           0.0023118,            0.064595,            0.025505,             0.05397,            0.089105,            0.001105,            0.001105
                  13,            0.084937,            0.032002,            0.048767,           0.0038189,             0.49334,           0.0069014,           0.0020506,            0.062624,            0.025372,            0.052856,            0.088188,           0.0011885,           0.0011885
                  14,            0.084137,            0.033401,            0.048338,           0.0051626,             0.69307,             0.01232,           0.0029949,             0.06139,            0.024911,            0.050537,            0.087271,           0.0012706,           0.0012706
                  15,            0.081316,            0.037709,            0.044281,             0.00491,             0.69421,            0.012421,           0.0039486,            0.061095,            0.024393,             0.04921,            0.086351,           0.0013515,           0.0013515
