               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.05783,             0.02723,            0.041598,             0.14664,              0.4553,             0.28906,             0.10311,            0.048316,            0.019034,            0.037224,            0.067894,           0.0028936,           0.0028936
                  36,            0.053555,            0.024025,            0.040017,             0.44357,             0.45648,             0.29811,             0.10708,            0.052076,            0.018095,            0.036335,            0.066958,           0.0029585,           0.0029585
                  37,            0.065996,             0.03142,            0.038315,             0.44357,             0.45648,             0.29811,             0.10708,            0.052076,            0.018095,            0.036335,            0.066022,           0.0030223,           0.0030223
                  38,            0.068726,            0.031261,            0.035144,             0.45527,             0.40652,             0.33577,             0.10769,            0.049779,            0.017939,            0.036034,            0.065085,           0.0030852,           0.0030852
                  39,            0.060507,            0.028284,            0.037826,             0.45527,             0.40652,             0.33577,             0.10769,            0.049779,            0.017939,            0.036034,            0.064147,           0.0031471,           0.0031471
                  40,            0.053275,            0.024735,            0.039034,            0.090181,             0.22841,             0.18755,            0.045968,            0.052627,            0.016539,            0.036446,            0.063208,            0.003208,            0.003208
                  41,            0.069451,             0.03329,            0.036601,            0.090181,             0.22841,             0.18755,            0.045968,            0.052627,            0.016539,            0.036446,            0.062268,           0.0032679,           0.0032679
                  42,            0.057462,             0.02441,            0.041538,             0.25209,             0.46695,             0.39399,             0.12577,            0.046465,             0.01716,            0.036667,            0.061327,           0.0033268,           0.0033268
                  43,            0.058855,              0.0243,            0.039743,             0.25209,             0.46695,             0.39399,             0.12577,            0.046465,             0.01716,            0.036667,            0.060385,           0.0033847,           0.0033847
                  44,             0.05774,            0.021835,            0.038261,             0.55945,             0.44432,             0.46441,             0.14893,            0.045497,             0.01708,            0.037239,            0.059442,           0.0034417,           0.0034417
                  45,            0.060149,            0.025082,            0.041611,             0.55945,             0.44432,             0.46441,             0.14893,            0.045497,             0.01708,            0.037239,            0.058498,           0.0034976,           0.0034976
                  46,              0.0604,             0.03476,            0.033909,              0.5782,             0.40114,              0.4386,              0.1918,            0.048609,            0.015915,            0.036774,            0.057553,           0.0035526,           0.0035526
                  47,            0.063057,            0.030673,            0.035991,              0.5782,             0.40114,              0.4386,              0.1918,            0.048609,            0.015915,            0.036774,            0.056607,           0.0036065,           0.0036065
                  48,            0.057092,            0.022421,            0.039369,              0.1683,             0.30455,             0.22632,            0.054136,            0.048831,            0.015978,            0.038048,             0.05566,           0.0036595,           0.0036595
                  49,            0.068809,            0.025195,            0.040132,              0.1683,             0.30455,             0.22632,            0.054136,            0.048831,            0.015978,            0.038048,            0.054712,           0.0037115,           0.0037115
                  50,            0.061971,             0.02632,            0.034026,             0.47808,             0.55177,             0.52869,             0.25322,             0.04245,            0.016172,             0.03907,            0.053763,           0.0037625,           0.0037625
                  51,            0.053609,            0.019187,            0.035847,             0.47808,             0.55177,             0.52869,             0.25322,             0.04245,            0.016172,             0.03907,            0.052813,           0.0038125,           0.0038125
                  52,            0.055998,            0.023857,            0.039143,             0.47808,             0.55177,             0.52869,             0.25322,             0.04245,            0.016172,             0.03907,            0.051862,           0.0038615,           0.0038615
                  53,            0.055635,             0.01865,            0.035271,             0.15873,             0.55676,             0.23163,             0.07663,            0.051969,            0.014555,            0.037834,             0.05091,           0.0039095,           0.0039095
                  54,             0.06289,            0.035053,            0.029647,             0.15873,             0.55676,             0.23163,             0.07663,            0.051969,            0.014555,            0.037834,            0.049957,           0.0039566,           0.0039566
                  55,            0.058452,            0.022336,            0.035731,             0.15873,             0.55676,             0.23163,             0.07663,            0.051969,            0.014555,            0.037834,            0.049003,           0.0040026,           0.0040026
                  56,            0.061741,            0.032992,            0.035209,             0.19019,               0.408,             0.37705,             0.15139,            0.044133,            0.014728,            0.036575,            0.048048,           0.0040477,           0.0040477
                  57,            0.061764,            0.028352,            0.034891,             0.19019,               0.408,             0.37705,             0.15139,            0.044133,            0.014728,            0.036575,            0.047092,           0.0040917,           0.0040917
                  58,            0.061715,            0.021606,            0.034922,             0.19019,               0.408,             0.37705,             0.15139,            0.044133,            0.014728,            0.036575,            0.046135,           0.0041348,           0.0041348
                  59,            0.060894,            0.019835,            0.033483,             0.22381,             0.50841,             0.37326,             0.14265,            0.043707,            0.014761,            0.036339,            0.045177,           0.0041769,           0.0041769
                  60,            0.060765,             0.02142,            0.037435,             0.22381,             0.50841,             0.37326,             0.14265,            0.043707,            0.014761,            0.036339,            0.044218,            0.004218,            0.004218
                  61,            0.056074,             0.02307,            0.035166,             0.22381,             0.50841,             0.37326,             0.14265,            0.043707,            0.014761,            0.036339,            0.043258,           0.0042581,           0.0042581
                  62,            0.056114,            0.015224,            0.038739,             0.35457,             0.68593,             0.40199,             0.12377,            0.050585,            0.012884,            0.034866,            0.042297,           0.0042972,           0.0042972
                  63,            0.066882,            0.033225,            0.034533,             0.35457,             0.68593,             0.40199,             0.12377,            0.050585,            0.012884,            0.034866,            0.041335,           0.0043353,           0.0043353
                  64,            0.059506,            0.028124,            0.031451,             0.35457,             0.68593,             0.40199,             0.12377,            0.050585,            0.012884,            0.034866,            0.040372,           0.0043725,           0.0043725
                  65,            0.067075,            0.022765,            0.040942,             0.21075,             0.69518,             0.29869,             0.11038,             0.03976,            0.013649,              0.0354,            0.039409,           0.0044086,           0.0044086
                  66,            0.054945,            0.024242,            0.028422,             0.21075,             0.69518,             0.29869,             0.11038,             0.03976,            0.013649,              0.0354,            0.038444,           0.0044438,           0.0044438
                  67,            0.052201,            0.023052,            0.030866,             0.21075,             0.69518,             0.29869,             0.11038,             0.03976,            0.013649,              0.0354,            0.037478,           0.0044779,           0.0044779
                  68,            0.058731,            0.019365,            0.037094,             0.22865,             0.54275,             0.38334,             0.18135,            0.044647,            0.012578,            0.034843,            0.036511,           0.0045111,           0.0045111
                  69,             0.05479,            0.024777,            0.027499,             0.22865,             0.54275,             0.38334,             0.18135,            0.044647,            0.012578,            0.034843,            0.035543,           0.0045433,           0.0045433
                  70,            0.054218,            0.023475,            0.032149,             0.22865,             0.54275,             0.38334,             0.18135,            0.044647,            0.012578,            0.034843,            0.034574,           0.0045745,           0.0045745
                  71,            0.055192,            0.020464,             0.03671,             0.28694,             0.57233,             0.39828,              0.1904,            0.039908,            0.013153,            0.035271,            0.033605,           0.0046047,           0.0046047
                  72,            0.046043,             0.01428,            0.028385,             0.28694,             0.57233,             0.39828,              0.1904,            0.039908,            0.013153,            0.035271,            0.032634,           0.0046339,           0.0046339
                  73,            0.053614,            0.029649,            0.032546,             0.28694,             0.57233,             0.39828,              0.1904,            0.039908,            0.013153,            0.035271,            0.031662,           0.0046621,           0.0046621
                  74,            0.053429,            0.025444,            0.030943,             0.33406,             0.53534,             0.36807,             0.14281,            0.045625,            0.012055,            0.034637,            0.030689,           0.0046894,           0.0046894
                  75,            0.060122,            0.019338,            0.032165,             0.33406,             0.53534,             0.36807,             0.14281,            0.045625,            0.012055,            0.034637,            0.029716,           0.0047156,           0.0047156
                  76,            0.058206,            0.020857,            0.033021,             0.33406,             0.53534,             0.36807,             0.14281,            0.045625,            0.012055,            0.034637,            0.028741,           0.0047409,           0.0047409
                  77,             0.05142,            0.016721,            0.027964,             0.50096,             0.53025,             0.50949,             0.23192,            0.046394,            0.011979,            0.033394,            0.027765,           0.0047651,           0.0047651
                  78,            0.050628,            0.029265,            0.034299,             0.50096,             0.53025,             0.50949,             0.23192,            0.046394,            0.011979,            0.033394,            0.026788,           0.0047884,           0.0047884
                  79,            0.053264,            0.017484,            0.033063,             0.50096,             0.53025,             0.50949,             0.23192,            0.046394,            0.011979,            0.033394,            0.025811,           0.0048107,           0.0048107
                  80,            0.053458,            0.027824,            0.029145,             0.30737,             0.60339,             0.40843,             0.21375,            0.042051,            0.012044,            0.030338,            0.024832,            0.004832,            0.004832
                  81,              0.0539,            0.025245,            0.024474,             0.30737,             0.60339,             0.40843,             0.21375,            0.042051,            0.012044,            0.030338,            0.023852,           0.0048523,           0.0048523
                  82,            0.053591,             0.02402,            0.030697,             0.30737,             0.60339,             0.40843,             0.21375,            0.042051,            0.012044,            0.030338,            0.022872,           0.0048716,           0.0048716
                  83,            0.055646,            0.022429,            0.032093,             0.50944,              0.6063,             0.53141,             0.28018,            0.043246,            0.012069,            0.029343,             0.02189,           0.0048899,           0.0048899
                  84,            0.052348,            0.025215,            0.028877,             0.50944,              0.6063,             0.53141,             0.28018,            0.043246,            0.012069,            0.029343,            0.020907,           0.0049073,           0.0049073
                  85,            0.054712,            0.023038,            0.027569,             0.50944,              0.6063,             0.53141,             0.28018,            0.043246,            0.012069,            0.029343,            0.019924,           0.0049236,           0.0049236
                  86,            0.045219,            0.021515,            0.027237,             0.50944,              0.6063,             0.53141,             0.28018,            0.043246,            0.012069,            0.029343,            0.018939,            0.004939,            0.004939
                  87,             0.05009,            0.018405,             0.03686,             0.31207,             0.60371,             0.48697,             0.23091,            0.051977,            0.011073,            0.029285,            0.017953,           0.0049533,           0.0049533
                  88,            0.051488,            0.023004,            0.026153,             0.31207,             0.60371,             0.48697,             0.23091,            0.051977,            0.011073,            0.029285,            0.016967,           0.0049667,           0.0049667
                  89,            0.052476,            0.016816,            0.026626,             0.31207,             0.60371,             0.48697,             0.23091,            0.051977,            0.011073,            0.029285,            0.015979,           0.0049791,           0.0049791
                  90,            0.051603,            0.015885,            0.031429,             0.31207,             0.60371,             0.48697,             0.23091,            0.051977,            0.011073,            0.029285,             0.01499,           0.0049905,           0.0049905
                  91,            0.050992,            0.014606,            0.039003,             0.45381,             0.53812,             0.53202,             0.26727,             0.04822,             0.01183,            0.031425,            0.014001,           0.0050009,           0.0050009
